Model #,UPC,ASIN,Product title,Seller Name,FBA,Map price,Price,$ Diff,% Diff,Date Detected,Where Detected,Img Url
645759,20867457595,B00L9YZF0Q,DESK MATE,The Clock Depot,FALSE,13.99,13.99,,,2017-12-21 13:44,https://www.theclockdepot.com/645-759-Desk-Mate.html,https://s3-us-west-2.amazonaws.com/mapviolations/645-759-Desk-Mate-200px.png
645747,20867457472,B00FFQZQYY,REGAL,The Clock Depot,FALSE,58.99,57.75,,,2017-12-22 05:12,https://www.theclockdepot.com/Howard-Miller-Regal-645-747-Desk-Clock.html,https://s3-us-west-2.amazonaws.com/mapviolations/Howard-Miller-645-747-200px.png
612437,20867000975,B001BXNVFQ,GRAHAM BRACKET,The Clock Depot,FALSE,749,693.00,,,2017-12-22 05:39,https://www.theclockdepot.com/graham_bracket.html,https://s3-us-west-2.amazonaws.com/mapviolations/Howard-Miller-612-437-Graham-Bracket-SM.png
680594,20867059966,B00WN4E2HS,UNDERHILL II,The Clock Depot,FALSE,799,782.60,,,2017-12-22 05:41,https://www.theclockdepot.com/Howard-Miller-Underhill-680-533-Curio-Display-Cabinet.html,https://s3-us-west-2.amazonaws.com/mapviolations/Howard-Miller-680-533-Underhill-Curio-Cabinet-SM.png
693001,20867930012,B003I86M6C,NIAGARA BAR,The Clock Depot,FALSE,2799,1849.00,,,2017-12-22 05:59,https://www.theclockdepot.com/Howard_Miller_Niagara_693-006_Home_Bar_Console.html,https://s3-us-west-2.amazonaws.com/mapviolations/Howard-Miller-693-006-200px.png
611190,20867027040,B0085UACZA,ELGIN,The Clock Depot,FALSE,3749,2749.00,,,2017-12-22 06:01,https://www.theclockdepot.com/Howard-Miller-Elgin-611-190-Grandfather-Clock.html,https://s3-us-west-2.amazonaws.com/mapviolations/Howard-Miller-611-190-Grandfather-Clock-150px.png
625166,20867251667,B000YDKCB0,,The Clock Depot,FALSE,10000,71.40,,,2017-12-23 16:24,https://www.princetonwatches.com/products/625-166,https://s3-us-west-2.amazonaws.com/mapviolations/princetonwatches_625-166.png
625195,20867251957,B000789VG4,,The Clock Depot,FALSE,10000,51.45,,,2017-12-23 16:25,https://www.princetonwatches.com/products/625-195,https://s3-us-west-2.amazonaws.com/mapviolations/princetonwatches_625-195.png
625166,20867251667,B000YDKCB0,,The Clock Depot,FALSE,10000,71.40,,,2017-12-23 16:27,https://www.princetonwatches.com/products/625-166,https://s3-us-west-2.amazonaws.com/mapviolations/princetonwatches_625-166.png
625195,20867251957,B000789VG4,,The Clock Depot,FALSE,10000,51.45,,,2017-12-23 16:28,https://www.princetonwatches.com/products/625-195,https://s3-us-west-2.amazonaws.com/mapviolations/princetonwatches_625-195.png
625166,20867251667,B000YDKCB0,,The Clock Depot,FALSE,10000,71.40,,,2017-12-23 16:31,https://www.princetonwatches.com/products/625-166,https://s3-us-west-2.amazonaws.com/mapviolations/princetonwatches_625-166.png
625195,20867251957,B000789VG4,,The Clock Depot,FALSE,10000,51.45,,,2017-12-23 16:32,https://www.princetonwatches.com/products/625-195,https://s3-us-west-2.amazonaws.com/mapviolations/princetonwatches_625-195.png
625166,20867251667,B000YDKCB0,,The Clock Depot,FALSE,10000,71.40,,,2017-12-23 17:46,https://www.princetonwatches.com/products/625-166,https://s3-us-west-2.amazonaws.com/mapviolations/princetonwatches_625-166.png
625166,20867251667,B000YDKCB0,,The Clock Depot,FALSE,10000,73.99,,,2017-12-23 18:13,http://www.interiorclue.com/home-decor/clocks/wall-clocks/quartz-wall-clock-white-dial-gallery-howardmiller-625166.html,https://s3-us-west-2.amazonaws.com/mapviolations/interiorclue_625-166.png
625195,20867251957,B000789VG4,,The Clock Depot,FALSE,10000,52.99,,,2017-12-23 18:14,http://www.interiorclue.com/home-decor/clocks/wall-clocks/quartz-round-wall-clock-calendar-display-howardmiller-625195.html,https://s3-us-west-2.amazonaws.com/mapviolations/interiorclue_625-195.png
625166,20867251667,B000YDKCB0,,weatherbuffs,FALSE,10000,71.40,,,2017-12-24 01:27,https://www.WeatherBuffs.Com/16_Simple_and_Clean_Gallery_Wall_Clock_625_166_p/hm-625-166.htm,https://s3-us-west-2.amazonaws.com/mapviolations/weatherbuffs_625-166_2017-12-24 01:27.png
625166,20867251667,B000YDKCB0,,weatherbuffs,FALSE,10000,71.40,,,2017-12-24 01:28,https://www.WeatherBuffs.Com/16_Simple_and_Clean_Gallery_Wall_Clock_625_166_p/hm-625-166.htm,https://s3-us-west-2.amazonaws.com/mapviolations/weatherbuffs_625-166_2017-12-24_01:28.png
625195,20867251957,B000789VG4,,weatherbuffs,FALSE,10000,55.59,,,2017-12-24 01:29,https://www.WeatherBuffs.Com/14_Chronicle_Metallic_Gray_Wall_Clock_625_195_p/hm-625-195.htm,https://s3-us-west-2.amazonaws.com/mapviolations/weatherbuffs_625-195_2017-12-24_01:29.png
625166,20867251667,B000YDKCB0,,weatherbuffs,FALSE,10000,71.40,,,2017-12-24 01:30,https://www.WeatherBuffs.Com/16_Simple_and_Clean_Gallery_Wall_Clock_625_166_p/hm-625-166.htm,https://s3-us-west-2.amazonaws.com/mapviolations/weatherbuffs_625-166_2017-12-24_01:30.png
625195,20867251957,B000789VG4,,weatherbuffs,FALSE,10000,55.59,,,2017-12-24 01:30,https://www.WeatherBuffs.Com/14_Chronicle_Metallic_Gray_Wall_Clock_625_195_p/hm-625-195.htm,https://s3-us-west-2.amazonaws.com/mapviolations/weatherbuffs_625-195_2017-12-24_01:30.png
645287,20867452873,B0007T1AF8,PARNELL,weatherbuffs,FALSE,57.99,57.94,,,2017-12-24 01:33,https://www.WeatherBuffs.Com/Parnell_Tabletop_Clock_645_287_p/hm-645-287.htm,https://s3-us-west-2.amazonaws.com/mapviolations/weatherbuffs_645-287_2017-12-24_01:33.png
645708,20867457083,B0036NEJNC,ADONIS,weatherbuffs,FALSE,57.99,57.94,,,2017-12-24 01:33,https://www.WeatherBuffs.Com/product_p/hm-645-708.htm,https://s3-us-west-2.amazonaws.com/mapviolations/weatherbuffs_645-708_2017-12-24_01:33.png
645424,20867454242,B000KU7TN6,CAROLS OF CHRISTMAS II,weatherbuffs,FALSE,58.99,58.53,,,2017-12-24 01:33,https://www.WeatherBuffs.Com/Carols_of_Christmas_II_Musical_Clock_645_424_p/hm-645-424.htm,https://s3-us-west-2.amazonaws.com/mapviolations/weatherbuffs_645-424_2017-12-24_01:33.png
